Queries,Number of Overlapping Resutls,%Overlap,Spearman Coefficient,,,,,
Query 1,2,20,-36,,,Overlap,%Overlap,Rho
Query 2,4,40,-3.1,,Averages,2.94,0.294,-11.924
Query 3,1,10,0,,,,,
Query 4,1,10,0,,,,,
Query 5,2,20,-49,,,,,
Query 6,2,20,-99,,,,,
Query 7,2,20,-15,,,,,
Query 8,3,30,-2.5,,,,,
Query 9,4,40,-13,,,,,
Query 10,0,0,0,,,,,
Query 11,3,30,-7.25,,,,,
Query 12,3,30,-21,,,,,
Query 13,3,30,-0.5,,,,,
Query 14,4,40,-15.3,,,,,
Query 15,3,30,-4,,,,,
Query 16,4,40,-0.5,,,,,
Query 17,5,50,-2.35,,,,,
Query 18,2,20,-39,,,,,
Query 19,3,30,-17.5,,,,,
Query 20,4,40,-4.7,,,,,
Query 21,2,20,-84,,,,,
Query 22,2,20,-49,,,,,
Query 23,4,40,-7.5,,,,,
Query 24,4,40,-6.3,,,,,
Query 25,4,40,-12.8,,,,,
Query 26,2,20,-19,,,,,
Query 27,2,20,-44,,,,,
Query 28,6,60,-2.97,,,,,
Query 29,1,10,0,,,,,
Query 30,2,20,-35,,,,,
Query 31,7,70,-0.64,,,,,
Query 32,6,60,-3.2,,,,,
Query 33,1,10,1,,,,,
Query 34,6,60,-0.69,,,,,
Query 35,1,10,0,,,,,
Query 36,1,10,0,,,,,
Query 37,1,10,0,,,,,
Query 38,2,20,-57,,,,,
Query 39,4,40,-2.5,,,,,
Query 40,4,40,-1.1,,,,,
Query 41,7,70,0.59,,,,,
Query 42,3,30,-1.5,,,,,
Query 43,3,30,-4,,,,,
Query 44,4,40,-4,,,,,
Query 45,5,50,-1.55,,,,,
Query 46,1,10,0,,,,,
Query 47,3,30,-9.25,,,,,
Query 48,5,50,-2.75,,,,,
Query 49,6,60,-1.6,,,,,
Query 50,4,40,-3.9,,,,,
Query 51,3,30,-32.5,,,,,
Query 52,4,40,-10.3,,,,,
Query 53,5,50,-0.45,,,,,
Query 54,1,10,0,,,,,
Query 55,1,10,0,,,,,
Query 56,4,40,-1.8,,,,,
Query 57,2,20,-19,,,,,
Query 58,2,20,-1,,,,,
Query 59,3,30,-23.5,,,,,
Query 60,2,20,-19,,,,,
Query 61,1,10,0,,,,,
Query 62,3,30,-4.25,,,,,
Query 63,5,50,-1.8,,,,,
Query 64,4,40,-18.1,,,,,
Query 65,3,30,-20.25,,,,,
Query 66,0,0,0,,,,,
Query 67,3,30,-5.5,,,,,
Query 68,5,50,-0.4,,,,,
Query 69,2,20,1,,,,,
Query 70,3,30,-15.75,,,,,
Query 71,5,50,-3.3,,,,,
Query 72,0,0,0,,,,,
Query 73,0,0,0,,,,,
Query 74,2,20,-64,,,,,
Query 75,6,60,-0.49,,,,,
Query 76,6,60,-1.94,,,,,
Query 77,5,50,-0.3,,,,,
Query 78,1,10,0,,,,,
Query 79,5,50,-5.35,,,,,
Query 80,5,50,-4.45,,,,,
Query 81,3,30,-9.25,,,,,
Query 82,1,10,0,,,,,
Query 83,4,40,-8,,,,,
Query 84,0,0,0,,,,,
Query 85,1,10,0,,,,,
Query 86,2,20,-73,,,,,
Query 87,1,10,0,,,,,
Query 88,1,10,0,,,,,
Query 89,2,20,-67,,,,,
Query 90,4,40,-5.2,,,,,
Query 91,2,20,-12,,,,,
Query 92,2,20,-33,,,,,
Query 93,0,0,0,,,,,
Query 94,5,50,-6.1,,,,,
Query 95,3,30,-3.5,,,,,
Query 96,4,40,-1.1,,,,,
Query 97,2,20,-7,,,,,
Query 98,3,30,-19.5,,,,,
Query 99,3,30,-13,,,,,
Query 100,2,20,0,,,,,
